Date,Close,High,Low,Open,Volume
7/18/2024,249.2299957,257.1400146,247.1999969,251.0899963,110869000
7/19/2024,239.1999969,249.4400024,236.8300018,247.7899933,87403900
7/22/2024,251.5099945,253.2100067,243.75,244.2100067,101225400
7/23/2024,246.3800049,255.7599945,245.6300049,253.6000061,111928200
7/24/2024,215.9900055,225.9900055,214.7100067,225.4199982,167942900
7/25/2024,220.25,226,216.2299957,216.8000031,100636500
7/26/2024,219.8000031,222.2799988,215.3300018,221.1900024,94604100
7/29/2024,232.1000061,234.2700043,224.6999969,224.8999939,129201800
7/30/2024,222.6199951,232.4100037,220,232.25,100560300
7/31/2024,232.0700073,234.6799927,226.7899933,227.8999939,67497000
8/1/2024,216.8600006,231.8699951,214.3300018,227.6900024,83861900
8/2/2024,207.6699982,216.1300049,205.7799988,214.8800049,82880100
8/5/2024,198.8800049,203.8800049,182,185.2200012,100308800
8/6/2024,200.6399994,202.8999939,192.6699982,200.75,73783900
8/7/2024,191.7599945,203.4900055,191.4799957,200.7700043,71159800
8/8/2024,198.8399963,200.6999969,192.0399933,195.6999969,65033900
8/9/2024,200,200.8800049,195.1100006,197.0500031,58648300
8/12/2024,197.4900055,199.2599945,194.6699982,199.0200043,64044900
8/13/2024,207.8300018,208.4900055,197.0599976,198.4700012,76247400
8/14/2024,201.3800049,208.4400024,198.75,207.3899994,70250000
8/15/2024,214.1399994,215.8800049,204.8200073,205.0200043,89848500
